entity,type,count
Rossel,PER,654
mod,PER,106
rem,PER,83
Tél,PER,76
Ecrire Ag,PER,66
Ecr,PER,59
Louise,PER,51
culs,PER,50
trav,PER,48
- Tél,PER,46
A.F.P.,PER,45
Roi,PER,44
curric,PER,38
gar,PER,34
Monsieur,PER,32
Enf,PER,31
curr,PER,29
Agence Rossel,PER,29
Inut,PER,25
Créd,PER,25
Reine,PER,24
Napoléon,PER,24
Bel,PER,23
MONSIEUR,PER,22
Bonne,PER,21
Dick,PER,20
atel,PER,19
Jne,PER,19
M. Collard,PER,19
jne,PER,19
Françoise,PER,19
App,PER,18
Jette,PER,18
Gar,PER,17
Rossel num,PER,17
chamb,PER,16
Brugmann,PER,16
Président,PER,15
s. de b.,PER,15
Molière,PER,15
Ag Rossel,PER,15
Ett,PER,14
Baert,PER,14
s.d.b,PER,13
conn,PER,13
S. A.,PER,13
Pape,PER,13
Sir Winston Churchill,PER,13
Gros,PER,13
A. P.,PER,13
Watteau,PER,13
Mutuel,PER,12
Washington,PER,12
Albert,PER,12
Staline,PER,12
Diesel,PER,12
M. Mendès-France,PER,11
Joseph II,PER,11
Situât,PER,11
M. Smelten,PER,11
entret,PER,11
s. enf,PER,11
l’Empereur,PER,11
Malenkov,PER,11
Boulganine,PER,11
Bobet,PER,11
Khrouchtchev,PER,11
Messieurs,PER,10
F. C.,PER,10
F. C. Liégeois,PER,10
DIVISION III,PER,10
lmp,PER,10
Louis XIV,PER,10
Mertens,PER,10
Paul,PER,10
Mérode,PER,10
Madame,PER,10
magas,PER,10
Mozart,PER,10
Peron,PER,10
Devos,PER,9
- Vis,PER,9
s. d.,PER,9
stud,PER,9
curricul,PER,9
Chose,PER,9
Lyra,PER,9
Aff,PER,9
rép,PER,9
Not,PER,9
M. Attlee,PER,9
Eisenhower,PER,9
Hitler,PER,9
Thys,PER,9
J. G. P. N.,PER,9
Bethe,PER,9
Rosewall,PER,8
M. Molotov,PER,8
gren,PER,8
Madou,PER,8
Vleurgat,PER,8
Soc,PER,8
Rosse,PER,8
Dagobert,PER,8
Solde,PER,8
M. Harmel,PER,8
Adenauer,PER,8
Bur,PER,8
Fils,PER,8
Van Volxem,PER,8
conc,PER,8
A. F. P.,PER,8
Tendance,PER,8
P. S. C.,PER,8
Houot,PER,8
Van,PER,8
Edmond,PER,8
George Sand,PER,8
Delacroix,PER,8
Talma,PER,8
Roan Antelope,PER,8
M. Troclet,PER,8
Verhavert,PER,8
Camélia,PER,8
Belg,PER,8
Mikaël,PER,8
Helzold,PER,7
Tilleur,PER,7
S. C. Anderlecht,PER,7
C. S. Tongres,PER,7
Van Rooy,PER,7
coch,PER,7
Voltaire,PER,7
Fixe,PER,7
st.-dact,PER,7
Faire,PER,7
Anspach,PER,7
M. Buisseret,PER,7
Holl,PER,7
lr ét,PER,7
Anderl,PER,7
Bruxel,PER,7
domic,PER,7
Rép,PER,7
Richard,PER,7
Fernandel,PER,7
Sam,PER,7
Verhaegen,PER,7
palem,PER,7
Montesquieu,PER,7
Joseph Czapski,PER,7
Graf,PER,7
Martin,PER,7
Jean,PER,7
John,PER,7
Marie,PER,7
Cycliste,PER,7
César,PER,7
Oeste,PER,7
M. Macmillan,PER,7
Jacques Ibert,PER,7
Lebon,PER,7
situât,PER,7
Franco,PER,6
S. K. Roulers,PER,6
Longfils,PER,6
Van Vaerenbergh,PER,6
Stan Ockers,PER,6
Dan,PER,6
2c ét,PER,6
Loy,PER,6
Léopold II,PER,6
Cinquantenaire,PER,6
Pie XII,PER,6
Charles Buis,PER,6
Dumont,PER,6
Jacobs,PER,6
bll,PER,6
repr,PER,6
Rossol,PER,6
loy,PER,6
dem,PER,6
deh,PER,6
Lundi,PER,6
confect,PER,6
vx poêl,PER,6
mét,PER,6
Antoine Pinay,PER,6
Henri,PER,6
Mortier,PER,6
Adrien,PER,6
Chopin,PER,6
George,PER,6
Rémusat,PER,6
Dupont,PER,6
Jacques,PER,6
Technlc,PER,6
pr enf,PER,6
Mc Cormick,PER,6
Mme,PER,6
Heu,PER,6
Fem,PER,6
I. N.,PER,6
B. B. C.,PER,6
P. Lebbe,PER,6
Mét,PER,6
M. Viot,PER,6
Moens,PER,6
Bulg,PER,6
Cyprien,PER,6
M. Spaak,PER,5
C. E. C. A.,PER,5
Moll,PER,5
C. S. Hal,PER,5
Herve,PER,5
F. C. Brugeois,PER,5
Betecom,PER,5
Van Damme,PER,5
Saint-Trond,PER,5
Janssen,PER,5
M. Yoshida,PER,5
M. Hatoyama,PER,5
M. Chou,PER,5
Schaerb,PER,5
pr pers,PER,5
auton,PER,5
Ec Ag,PER,5
Ecrire Agence Rossel num,PER,5
pr trav,PER,5
Léopold,PER,5
Manessier,PER,5
Van de Meulebroeck,PER,5
Verdi,PER,5
Robert DE GEYNST,PER,5
Voyons,PER,5
Rapp,PER,5
Température,PER,5
Janssens,PER,5
A.P.,PER,5
Edgar Faure,PER,5
Recette,PER,5
R. C. Tournai,PER,5
comptab,PER,5
Sol,PER,5
ouv,PER,5
Pte Louise,PER,5
Ucele,PER,5
enf,PER,5
Scheut,PER,5
Stalingrad,PER,5
Occas,PER,5
Dame,PER,5
Tapis,PER,5
Morris Min,PER,5
Raphaël,PER,5
Borgward,PER,5
Zuen,PER,5
Vaudeville,PER,5
Dom,PER,5
connaiss,PER,5
hon,PER,5
Lemonnier,PER,5
ÔN DEM,PER,5
Bonnet,PER,5
mat,PER,5
Cause,PER,5
Van Meyel,PER,5
Elisabeth,PER,5
Henri IV,PER,5
André Dumont,PER,5
Merckx,PER,5
Jumet,PER,5
Verhelst,PER,5
Lucien,PER,5
René,PER,5
Bonaparte,PER,5
Maherault,PER,5
Joséphine,PER,5
Goossens,PER,5
Mous,PER,5
François,PER,5
P. F. Enf,PER,5
Félix Marten,PER,5
Chancelier,PER,5
Hossel,PER,5
Galilée,PER,5
Cond,PER,5
Charpentier,PER,5
C. G. S. P.,PER,5
MADAME,PER,5
Pétrofina,PER,5
pr appart,PER,5
Jourdan,PER,5
M. DE SAEGHER,PER,5
Régent,PER,5
Opel Oly,PER,5
Macmillan,PER,5
M. Moshe Sharett,PER,5
M. Simons,PER,5
V. C.,PER,5
Méliès,PER,5
ds pet,PER,5
Brandt,PER,5
Jim Mayers,PER,5
la-,PER,5
Van Cauter,PER,5
Brankart,PER,5
Herssens,PER,5
bil.,PER,5
Robert Aron,PER,5
Père Dubarle,PER,5
Premier ministre,PER,4
I. N. R.,PER,4
C. E. D.,PER,4
Pinay,PER,4
Ans,PER,4
Coppens,PER,4
Vanderlinden,PER,4
V. Tirlemont,PER,4
Lefèvre,PER,4
Baré,PER,4
R. C. Tirlemont,PER,4
Meunier,PER,4
G.-B.,PER,4
M. Eisenhower,PER,4
s. b.,PER,4
Appartem,PER,4
Orban,PER,4
Gutenberg,PER,4
parf,PER,4
- Faire,PER,4
REPRES,PER,4
Alfred Manessier,PER,4
Bertrand,PER,4
Maurice Garçon,PER,4
Julien Sorel,PER,4
Léon TREICH,PER,4
Leburton,PER,4
R. V.,PER,4
M. Janssens,PER,4
Louis XV,PER,4
jard,PER,4
mensual,PER,4
Maréchal,PER,4
Min,PER,4
Marion,PER,4
Tito,PER,4
Lool,PER,4
Eug,PER,4
F. C. Malinois,PER,4
V. G. Ostende,PER,4
Saint-Gilles,PER,4
Verlinden,PER,4
Heylen,PER,4
Emile Zola,PER,4
Limite,PER,4
mte-ch,PER,4
chere,PER,4
Ecrire Agence Rossel,PER,4
Toison d’Or,PER,4
J. F.,PER,4
Marten Toonder,PER,4
Zéphyr,PER,4
pan,PER,4
Orphée,PER,4
eonf,PER,4
Intéressant,PER,4
dynam,PER,4
Conn,PER,4
l'Empereur,PER,4
